Film,Developer,Dilution,ASA/ISO,35mm,120,Sheet,Temp,Notes
Adox CHM,CHM 100 Universal,*see notes*,,,,,,,"Use times listed for Agfaphoto APX 100, Rollei RPX 100 or Kentmere 100"
Adox CHM,CHM 100 Universal,510-Pyro,1+100,100,11.75,,,20C,
Adox CHM,CHM 100 Universal,510-Pyro,1+100,100,15,,,20C,"Semi-stand development: continuous agitation 60 secs, then once every 10 mins"
Adox CHM,CHM 100 Universal,Adox HR-DEV,1+35,160,10,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 100 Universal,Atomal 49,1+2,100,22,,,20C,
Adox CHM,CHM 100 Universal,Atomal 49,stock,160,9.5,,,20C,
Adox CHM,CHM 100 Universal,D-76,stock,100,9,,,20C,
Adox CHM,CHM 100 Universal,FX-39,1+9,100,8,,,20C,
Adox CHM,CHM 100 Universal,ID-11,stock,100,9,,,20C,
Adox CHM,CHM 100 Universal,Microphen,stock,200,9,,,20C,
Adox CHM,CHM 100 Universal,Rodinal,1+24,80,5.5,,,20C,
Adox CHM,CHM 100 Universal,Rodinal,1+50,80,10,,,20C,
Adox CHM,CHM 100 Universal,Silvermax,1+24,100,8.5,,,20C,
Adox CHM,CHM 100 Universal,SP-Ultra 4LF,1+9,125,6.5,,,20C,
Adox CHM,CHM 100 Universal,Spur Speed-Major,1+35,200,8.5,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 100 Universal,Spur Speed-Major,1+24,400,11,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 100 Universal,Spur Speed-Major,1+14,640,12,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 100 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
Adox CHM,CHM 100 Universal,Spur TRX 2000,1+35,160,10,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 100 Universal,XT-3,stock,100,8,,,20C,
Adox CHM,CHM 400 Universal,*see notes*,,,,,,,"Use times listed for Agfaphoto APX 400, Rollei RPX 400 or Kentmere 400"
Adox CHM,CHM 400 Universal,510-Pyro,1+100,400,11,,,20C,
Adox CHM,CHM 400 Universal,510-Pyro,1+100,400,20.5,,,20C,"Semi-stand development: continuous agitation 60 secs, then once every 10 mins"
Adox CHM,CHM 400 Universal,510-Pyro,1+100,1600,25,,,20C,
Adox CHM,CHM 400 Universal,Adox HR-DEV,1+24,100,13.5,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 400 Universal,FX-39,1+9,400,11,,,20C,
Adox CHM,CHM 400 Universal,FX-39,1+9,800,16.5,,,21C,
Adox CHM,CHM 400 Universal,Spur Speed-Major,1+24,400,9,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 400 Universal,Spur Speed-Major,1+20,500,11,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 400 Universal,Spur Speed-Major,1+11,800,11,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHM,CHM 400 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
Adox CHM,CHM 400 Universal,Spur Speed-Major,1+7,1600,15,,,20C,
Adox CHM,CHM 400 Universal,Spur TRX 2000,1+24,100,13.5,,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100,ABC Pyro,stock,100,6,6,6,20C,
Adox CHS,Adox CHS 100,Acufine,stock,100,3,3,3,20C,
Adox CHS,Adox CHS 100,Acufine,stock,250,3.25,3.25,3.25,20C,
Adox CHS,Adox CHS 100,Acurol-N,1+50,50,9.5,9.5,9.5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100,Amaloco AM74,1+15,100,7.5,7.5,7.5,20C,
Adox CHS,Adox CHS 100,Atomal 49,stock,100,8,8,8,20C,
Adox CHS,Adox CHS 100,Atomal 49,1+1,100,12,12,12,20C,
Adox CHS,Adox CHS 100,Atomal 49,1+2,100,15,15,15,20C,
Adox CHS,Adox CHS 100,D-76,stock,100,7,7,7,20C,
Adox CHS,Adox CHS 100,D-76,1+1,100,10,10,10,20C,
Adox CHS,Adox CHS 100,Eco Pro,1+2,64,8.5,8.5,8.5,20C,
Adox CHS,Adox CHS 100,Eco Pro,1+2,80,11.75,11.75,11.75,20C,
Adox CHS,Adox CHS 100,Eco Pro,stock,100,8-9,8-9,8-9,20C,
Adox CHS,Adox CHS 100,Emofin,stock,100,4+4,4+4,4+4,20C,
Adox CHS,Adox CHS 100,Emofin,stock,400,4+4,4+4,4+4,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 100,F76+,1+4,64,12,12,12,20C,
Adox CHS,Adox CHS 100,F76+,1+9,100,13.5,13.5,13.5,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 100,F76+,1+19,100,22.5,22.5,22.5,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 100,Finol,1+1+100,80,13.5,13.5,13.5,24C,
Adox CHS,Adox CHS 100,Fomadon LQN,1+10,100,9,9,9,20C,
Adox CHS,Adox CHS 100,Fomadon R09,1+50,100,9.5,9.5,9.5,20C,
Adox CHS,Adox CHS 100,Fomadon R09,1+100,100,19,19,19,20C,
Adox CHS,Adox CHS 100,FX-39,1+9,100,7,7,7,20C,click here for alternate data
Adox CHS,Adox CHS 100,FX-39,1+14,100,11,11,11,20C,click here for alternate data
Adox CHS,Adox CHS 100,HC-110,B,100,5.5,5.5,6,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 100,HC-110,B,100,6.25,6.25,6.25,18C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 100,HC-110,H,100,11,11,11,20C,Dilution H is 1+63 from concentrate
Adox CHS,Adox CHS 100,ID-11,stock,100,7,7,7,20C,
Adox CHS,Adox CHS 100,ID-11,1+1,100,10,10,10,20C,
Adox CHS,Adox CHS 100,Ilfosol 3,1+9,100,5.5,5.5,5.5,20C,
Adox CHS,Adox CHS 100,Ilfotec DD-X,1+4,100,7,7,7,20C,"Agitation: continuous first min, then 5 secs per min."
Adox CHS,Adox CHS 100,Ilfotec DD-X,1+9,100,13,13,13,20C,"Agitation: continuous first min, then 5 secs per min."
Adox CHS,Adox CHS 100,Ilfotec LC29,1+29,100,11,11,11,20C,
Adox CHS,Adox CHS 100,Microdol-X,1+3,100,17,17,17,25C,
Adox CHS,Adox CHS 100,Microphen,1+3,100,18,18,18,21C,
Adox CHS,Adox CHS 100,Neofin Blue,stock,100,15,15,15,20C,"Neofin Blue/Red stock is made by mixing the contents of the vial with water to make 500ml; these times are for the older version only (20ml,25ml or 30ml vials). The current version of Neofin Blue is packaged with 50ml vials and does not use the stock solution."
Adox CHS,Adox CHS 100,Neofin Blue,stock,100,8,8,8,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 100,PC-TEA,1+50,100,10.5,10.5,10.5,20C,"Agitation: 15 secs per min for 3 mins, then 1-2 inversions per min."
Adox CHS,Adox CHS 100,Perceptol,1+3,50,23,23,23,20C,
Adox CHS,Adox CHS 100,PMK,1+2+100,50,12,12,12,21C,Presoak 1 minute
Adox CHS,Adox CHS 100,PMK,1+2+100,100,10,10,10,20C,"Agitation: continuous first 30 secs, then 1 inversion every 15 secs."
Adox CHS,Adox CHS 100,Pyrocat-HD,2+2+100,100,8,8,8,20C,
Adox CHS,Adox CHS 100,Rodinal,1+50,50,9,9,9,20C,
Adox CHS,Adox CHS 100,Rodinal,1+25,80,5,5,5,20C,
Adox CHS,Adox CHS 100,Rodinal,1+25,100,6,6,6,20C,
Adox CHS,Adox CHS 100,Rodinal,1+50,100,10,10,10,20C,
Adox CHS,Adox CHS 100,Rodinal,1+100,100,16,16,16,20C,
Adox CHS,Adox CHS 100,Rodinal,1+25,160,8,8,8,20C,
Adox CHS,Adox CHS 100,Rodinal,1+50,200,14,14,14,20C,
Adox CHS,Adox CHS 100,Rodinal,1+50,400,24,24,24,20C,
Adox CHS,Adox CHS 100,Silberra Ascorol,1+29,100,7,7,7,20C,
Adox CHS,Adox CHS 100,Sprint Standard,1+9,100,10,10,10,20C,
Adox CHS,Adox CHS 100,Tanol,1+1+100,80,14,14,14,22C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100,Tanol,2+3+130,100,12,12,12,20C,"Agitation: continuous first 30 secs, then 5x per min. After 6 mins, 1x per min only."
Adox CHS,Adox CHS 100,TMax Dev,1+4,100,7,7,7,20C,
Adox CHS,Adox CHS 100,TMax Dev,1+9,100,6,6,6,24C,
Adox CHS,Adox CHS 100,TMax RS,stock,80,4,4,4,20C,
Adox CHS,Adox CHS 100,TMax RS,stock,100,6,6,6,20C,
Adox CHS,Adox CHS 100,Ultrafin,1+10,100,3.5,3.5,3.5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 100,Ultrafin,1+20,100,5,5,5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 100,Ultrafin,1+30,100,7,7,7,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 100,WD2D+,stock,100,9.5,9.5,9.5,20C,
Adox CHS,Adox CHS 100,XT-3,1+2,64,8.5,8.5,8.5,20C,
Adox CHS,Adox CHS 100,XT-3,1+2,80,11.75,11.75,11.75,20C,
Adox CHS,Adox CHS 100,XT-3,stock,100,8-9,8-9,8-9,20C,
Adox CHS,Adox CHS 100,Xtol,1+2,64,8.5,8.5,8.5,20C,
Adox CHS,Adox CHS 100,Xtol,1+2,80,11.75,11.75,11.75,20C,
Adox CHS,Adox CHS 100,Xtol,stock,100,8-9,8-9,8-9,20C,
Adox CHS,Adox CHS 100 II,510-Pyro,1+100,100,8,8,8,20C,
Adox CHS,Adox CHS 100 II,ADX II,1+24,100,10,10,10,20C,
Adox CHS,Adox CHS 100 II,Amaloco AM74,1+15,100,7.5,7.5,6.75,20C,
Adox CHS,Adox CHS 100 II,Ars-Imago FD,1+39,100,6,6,6,20C,"Agitation: continuous first 30 secs, then 5 secs every 30 secs."
Adox CHS,Adox CHS 100 II,Atomal 49,stock,100,6.5,6.5,5.75,20C,"Agitation: continuous first 30 secs, then 1 inversion every 30 secs."
Adox CHS,Adox CHS 100 II,Atomal 49,1+1,100,10,10,9,20C,
Adox CHS,Adox CHS 100 II,Caffenol C-H (rs),stock,100,12.5,12.5,12.5,20C,
Adox CHS,Adox CHS 100 II,D-76,stock,100,6.5,6.5,5.75,20C,
Adox CHS,Adox CHS 100 II,D-76,1+1,100,9,9,8,20C,
Adox CHS,Adox CHS 100 II,Eco Pro,1+1,100,8,8,7.25,20C,
Adox CHS,Adox CHS 100 II,FX-39,1+9,100,7.5,7.5,6.75,20C,
Adox CHS,Adox CHS 100 II,FX-39,1+19,100,13,13,11.75,20C,
Adox CHS,Adox CHS 100 II,HC-110,B,100,5.5,5.5,5,20C,"Agitation: continuous first 30 secs, then 5 secs every 30 secs."
Adox CHS,Adox CHS 100 II,HC-110,B,100,8,8,7.25,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 100 II,HC-110,D,100,7,7,6.25,20C,"Agitation: continuous first 30 secs, then 5 secs every 30 secs."
Adox CHS,Adox CHS 100 II,HC-110,E,100,9,9,8,20C,"Agitation: continuous first 30 secs, then 5 secs every 30 secs."
Adox CHS,Adox CHS 100 II,HC-110,B,200,7.5,7.5,7.5,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 100 II,HC-110,B,400,9,9,9,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 100 II,ID-11,stock,100,6.5,6.5,5.75,20C,
Adox CHS,Adox CHS 100 II,ID-11,1+1,100,9,9,8,20C,
Adox CHS,Adox CHS 100 II,Ilfotec DD-X,1+4,100,7,7,7,20C,
Adox CHS,Adox CHS 100 II,Neofin Blue,1+5,100,12,12,12,20C,
Adox CHS,Adox CHS 100 II,Neofin Blue,1+9,100,20,20,20,20C,
Adox CHS,Adox CHS 100 II,Paranol S,1+25,100,8,8,8,20C,
Adox CHS,Adox CHS 100 II,Paranol S,1+50,100,25,25,25,20C,
Adox CHS,Adox CHS 100 II,Rodinal,1+25,100,5.5,5.5,5,20C,
Adox CHS,Adox CHS 100 II,Rodinal,1+50,100,12.5,12.5,11.5,20C,
Adox CHS,Adox CHS 100 II,Rodinal,1+100,100,30,30,27,20C,"Agitation: continuous first 30 secs, then 1 inversion every 30 secs."
Adox CHS,Adox CHS 100 II,Silberra Ascorol,1+29,100,7,7,7,20C,
Adox CHS,Adox CHS 100 II,Silvermax,1+19,100,8.5,8.5,7.5,20C,
Adox CHS,Adox CHS 100 II,Silvermax,1+19,125,10,10,9,20C,
Adox CHS,Adox CHS 100 II,SPD,stock,100,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 100 II,Spur HRX,1+17,100,11,11,11,20C,
Adox CHS,Adox CHS 100 II,Spur SLD,1+20,200,13,13,13,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur SLD,1+7,400,15.5,15.5,15.5,24C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+35,125,9,9,9,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+24,200,12,12,12,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+35,200,11,11,11,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+14,250,13,13,13,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+8,400,13,13,13,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 100 II,Spur Speed-Major,1+7,500,15,15,15,20C,
Adox CHS,Adox CHS 100 II,Spur UFP,1+24,100,9,9,9,20C,
Adox CHS,Adox CHS 100 II,XT-3,1+1,100,8,8,7.25,20C,
Adox CHS,Adox CHS 100 II,Xtol,1+1,100,8,8,7.25,20C,
Adox CHS,Adox CHS 25,510-Pyro,1+100,16,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 25,510-Pyro,1+100,16,5,5,5,21C,"Data is taken from a previous version of this developer, starting point time remains the same"
Adox CHS,Adox CHS 25,Acufine,stock,64,4,4,4,21C,
Adox CHS,Adox CHS 25,Acurol-N,1+70,8,8.5,8.5,8.5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 25,Acurol-N,1+70,10,8.5,8.5,8.5,20C,Same time applies across ASA/ISO range
Adox CHS,Adox CHS 25,Amaloco AM74,1+15,20,3,3,3,20C,
Adox CHS,Adox CHS 25,Atomal 49,stock,25,4,4,4,20C,
Adox CHS,Adox CHS 25,Atomal 49,1+1,25,5,5,5,20C,
Adox CHS,Adox CHS 25,Atomal 49,1+2,25,7,7,10,20C,
Adox CHS,Adox CHS 25,Bellini DF2 Duo Step,stock,25,3+3,3+3,3+3,20C,
Adox CHS,Adox CHS 25,Beutler,1+1+10,25,7.5,7.5,7.5,20C,"Agitation: continuous first 30 secs, then 1 inversion every 15 secs."
Adox CHS,Adox CHS 25,D-76,1+1,20,5,5,5,20C,
Adox CHS,Adox CHS 25,D-76,1+3,25,9-10,9-10,9-10,20C,
Adox CHS,Adox CHS 25,D-76,stock,50(25),6,6,6,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 25,D-76,1+1,50(25),8-9,8-9,8-9,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 25,Diafine,stock,25,3+3,3+3,3+3,20C,
Adox CHS,Adox CHS 25,DK-50,stock,25,5,5,5,20C,
Adox CHS,Adox CHS 25,Eco Pro,stock,20,6,6,6,20C,
Adox CHS,Adox CHS 25,Eco Pro,1+3,20,11,11,11,20C,
Adox CHS,Adox CHS 25,Eco Pro,1+1,50,8,8,8,20C,
Adox CHS,Adox CHS 25,Emofin,stock,25,3+3,3+3,3+3,20C,
Adox CHS,Adox CHS 25,Emofin,stock,32,4+4,4+4,4+4,20C,
Adox CHS,Adox CHS 25,F76+,1+9,25,5.5,5.5,5.5,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 25,F76+,1+19,25,12.5,12.5,12.5,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 25,F76+,1+9,50,8.5,8.5,8.5,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 25,FD10,1+14,25,6,6,6,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 25,Finol,1+1+100,20,7,7,7,24C,
Adox CHS,Adox CHS 25,Finol,1+1+100,25,8.5,8.5,8.5,24C,
Adox CHS,Adox CHS 25,Fomadon LQN,1+10,25,4,4,4,20C,
Adox CHS,Adox CHS 25,Fomadon R09,1+100,25,18,18,18,20C,
Adox CHS,Adox CHS 25,FX-39,1+9,25,4,4,4,20C,click here for alternate data
Adox CHS,Adox CHS 25,FX-39,1+19,32,6,6,6,20C,click here for alternate data
Adox CHS,Adox CHS 25,HC-110,B,25,7,7,7,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 25,HC-110,H,50,7,7,7,20C,Time for Jobo/rotary tube processor
Adox CHS,Adox CHS 25,ID-11,1+1,20,5,5,5,20C,
Adox CHS,Adox CHS 25,ID-11,1+3,25,9-10,9-10,9-10,20C,
Adox CHS,Adox CHS 25,ID-11,stock,50(25),6,6,6,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 25,ID-11,1+1,50(25),8-9,8-9,8-9,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 25,Ilfotec LC29,1+19,50,4.5,4.5,4.5,20C,
Adox CHS,Adox CHS 25,Microdol-X,1+3,25,14.5,14.5,14.5,20C,
Adox CHS,Adox CHS 25,Microphen,stock,25,5,5,5,20C,
Adox CHS,Adox CHS 25,Moersch eco,2+1+70,25,10.5,10.5,10.5,20C,
Adox CHS,Adox CHS 25,Neofin Blue,stock,25,7-8,7-8,7-8,20C,"Neofin Blue/Red stock is made by mixing the contents of the vial with water to make 500ml; these times are for the older version only (20ml,25ml or 30ml vials). The current version of Neofin Blue is packaged with 50ml vials and does not use the stock solution."
Adox CHS,Adox CHS 25,Neofin Blue,stock,25,3.75,3.75,3.75,20C,Presoak 3-5 minutes
Adox CHS,Adox CHS 25,PMK,1+2+100,25,7.5,7.5,7.5,21C,"Agitation: continuous first 30 secs, then 1 inversion every 15 secs."
Adox CHS,Adox CHS 25,Pyrocat-HD,1+1+100,12,10,10,10,20C,
Adox CHS,Adox CHS 25,Pyrocat-HD,2+2+100,25,10,10,10,20C,
Adox CHS,Adox CHS 25,Rodinal,1+50,12,3.5,3.5,3.5,20C,
Adox CHS,Adox CHS 25,Rodinal,1+100,12,9,9,9,20C,
Adox CHS,Adox CHS 25,Rodinal,1+50,20,4,4,4,20C,
Adox CHS,Adox CHS 25,Rodinal,1+99,20,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 25,Rodinal,1+25,25,4,4,4,20C,
Adox CHS,Adox CHS 25,Rodinal,1+50,25,8,8,8,20C,
Adox CHS,Adox CHS 25,Rodinal,1+100,25,12,12,12,20C,
Adox CHS,Adox CHS 25,Rodinal,1+100,25,11,11,11,20C,Add 1 tbsp sodium sulfite per 500ml
Adox CHS,Adox CHS 25,Rodinal,1+100,25,10,10,10,24C,Lower contrast suitable for scanning
Adox CHS,Adox CHS 25,Rodinal,1+100,25,17,18,17,21C,
Adox CHS,Adox CHS 25,Sprint Standard,1+9,25,5,5,5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 25,Tanol,1+1+100,16,12.5,12.5,12.5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 25,Tanol Speed,1+1+130,25,12,12,12,24C,Presoak 3-5 minutes
Adox CHS,Adox CHS 25,TMax Dev,1+4,25,4-5,4-5,4-5,20C,
Adox CHS,Adox CHS 25,TMax RS,stock,25,5,5,5,20C,
Adox CHS,Adox CHS 25,Ultrafin,1+10,20,3,3,3,20C,
Adox CHS,Adox CHS 25,Ultrafin,1+10,20,2,2,2,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 25,Ultrafin,1+20,20,5,5,5,20C,
Adox CHS,Adox CHS 25,Ultrafin,1+20,20,2.5,2.5,2.5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 25,Ultrafin,1+30,20,8,8,8,20C,
Adox CHS,Adox CHS 25,Ultrafin,1+30,20,3.5,3.5,3.5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 25,WD2D+,stock,25,9,9,9,20C,
Adox CHS,Adox CHS 25,XT-3,stock,20,6,6,6,20C,
Adox CHS,Adox CHS 25,XT-3,1+3,20,11,11,11,20C,
Adox CHS,Adox CHS 25,XT-3,1+1,50,8,8,8,20C,
Adox CHS,Adox CHS 25,Xtol,stock,20,6,6,6,20C,
Adox CHS,Adox CHS 25,Xtol,1+3,20,11,11,11,20C,
Adox CHS,Adox CHS 25,Xtol,1+1,50,8,8,8,20C,
Adox CHS,Adox CHS 50,Acufine,stock,160,2.75,2.75,2.75,20C,
Adox CHS,Adox CHS 50,Acurol-N,1+50,40,8-8.5,8-8.5,8-8.5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 50,Amaloco AM74,1+15,40,3.5,3.5,3.5,20C,
Adox CHS,Adox CHS 50,Atomal 49,stock,50,6,6,6,20C,
Adox CHS,Adox CHS 50,Atomal 49,1+1,50,8,8,8,20C,
Adox CHS,Adox CHS 50,Atomal 49,1+2,50,11,11,11,20C,
Adox CHS,Adox CHS 50,Bellini DF2 Duo Step,stock,50,4+4,4+4,4+4,20C,Presoak 3-5 minutes
Adox CHS,Adox CHS 50,Beutler,1+1+10,50,8.5,8.5,8.5,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 50,D-76,1+1,40,5.25,5.25,5.25,20C,
Adox CHS,Adox CHS 50,D-76,stock,50,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 50,D-76,1+1,50,8-9,8-9,8-9,20C,
Adox CHS,Adox CHS 50,D-76,stock,100(50),7,7,7,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 50,D-76,1+1,100(50),12,12,12,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 50,Diafine,stock,50,4+4,4+4,4+4,20C,Presoak 3-5 minutes
Adox CHS,Adox CHS 50,Eco Pro,stock,50,8,8,8,20C,
Adox CHS,Adox CHS 50,Eco Pro,1+1,50,10,10,10,20C,
Adox CHS,Adox CHS 50,Emofin,stock,50,2.5+2.5,2.5+2.5,2.5+2.5,20C,
Adox CHS,Adox CHS 50,Emofin,stock,64,5+5,5+5,5+5,20C,
Adox CHS,Adox CHS 50,Finol,1+1+100,50,10,10,10,24C,
Adox CHS,Adox CHS 50,Fomadon LQN,1+10,50,7,7,7,20C,
Adox CHS,Adox CHS 50,Fomadon R09,1+100,50,19,19,19,20C,
Adox CHS,Adox CHS 50,FX-39,1+9,50,5.5,5.5,5.5,20C,click here for alternate data
Adox CHS,Adox CHS 50,HC-110,B,50,7,7,7,20C,Dilution B is 1+31 from concentrate
Adox CHS,Adox CHS 50,ID-11,1+1,40,5.25,5.25,5.25,20C,
Adox CHS,Adox CHS 50,ID-11,stock,50,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 50,ID-11,1+1,50,8,8,8,20C,
Adox CHS,Adox CHS 50,ID-11,stock,100(50),7,7,7,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 50,ID-11,1+1,100(50),12,12,12,20C,Speed ratings in parenthesis() are for indoor tungsten lighting. Use the higher ASA for all natural light applications.
Adox CHS,Adox CHS 50,ID-68,stock,50,6,6,6,20C,
Adox CHS,Adox CHS 50,Marathon,1+9,100,6.5,6.5,6.5,20C,
Adox CHS,Adox CHS 50,Neofin Blue,stock,50,8,8,8,20C,"Neofin Blue/Red stock is made by mixing the contents of the vial with water to make 500ml; these times are for the older version only (20ml,25ml or 30ml vials). The current version of Neofin Blue is packaged with 50ml vials and does not use the stock solution."
Adox CHS,Adox CHS 50,Neofin Blue,stock,50,4,4,4,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 50,PMK,1+2+100,50,8,8,7.5,20C,"Agitation: continuous first 30 secs, then 1 inversion every 15 secs."
Adox CHS,Adox CHS 50,Rodinal,1+25,50,6,6,6,20C,
Adox CHS,Adox CHS 50,Rodinal,1+50,50,9,9,9,20C,
Adox CHS,Adox CHS 50,Rodinal,1+100,50,18,18,18,20C,
Adox CHS,Adox CHS 50,Rodinal,1+200,50,50,50,50,20C,"Semi-stand development: continuous agitation 30-60 secs, then 1-3 times during remainder of development"
Adox CHS,Adox CHS 50,Silberra Ascorol,1+29,50,7,7,7,20C,
Adox CHS,Adox CHS 50,Sprint Standard,1+9,50,8.5,8.5,8.5,20C,
Adox CHS,Adox CHS 50,Tanol,1+1+100,32,12,12,12,22C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Adox CHS,Adox CHS 50,TMax Dev,1+4,50,6,6,6,20C,
Adox CHS,Adox CHS 50,TMax RS,stock,50,5,5,5,20C,
Adox CHS,Adox CHS 50,Ultrafin,1+10,40,3.5,3.5,3.5,20C,
Adox CHS,Adox CHS 50,Ultrafin,1+10,40,2,2,2,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 50,Ultrafin,1+20,40,7,7,7,20C,
Adox CHS,Adox CHS 50,Ultrafin,1+20,40,2.5,2.5,2.5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 50,Ultrafin,1+30,40,12,12,12,20C,
Adox CHS,Adox CHS 50,Ultrafin,1+30,40,3.5,3.5,3.5,20C,Agitation: continuous (slow rhythm).
Adox CHS,Adox CHS 50,WD2D+,stock,50,10,10,10,20C,
Adox CHS,Adox CHS 50,XT-3,stock,50,8,8,8,20C,
Adox CHS,Adox CHS 50,XT-3,1+1,50,10,10,10,20C,
Adox CHS,Adox CHS 50,Xtol,stock,50,8,8,8,20C,
Adox CHS,Adox CHS 50,Xtol,1+1,50,10,10,10,20C,
Adox CHS 100 II,Adox CHS 100 II,510-Pyro,1+100,100,8,8,8,20C,
Adox CHS 100 II,Adox CHS 100 II,ADX II,1+24,100,10,10,10,20C,
Adox CHS 100 II,Adox CHS 100 II,Amaloco AM74,1+15,100,7.5,7.5,6.75,20C,
Adox CHS 100 II,Adox CHS 100 II,Ars-Imago FD,1+39,100,6,6,6,20C,"Agitation: continuous first 30 secs, then 5 secs every 30 secs."
Adox CHS 100 II,Adox CHS 100 II,Atomal 49,stock,100,6.5,6.5,5.75,20C,"Agitation: continuous first 30 secs, then 1 inversion every 30 secs."
Adox CHS 100 II,Adox CHS 100 II,Atomal 49,1+1,100,10,10,9,20C,
Adox CHS 100 II,Adox CHS 100 II,Caffenol C-H (rs),stock,100,12.5,12.5,12.5,20C,
